2026-07-30 10:21:47,658 REQ-81AA79 | /auth/microsoft/login/ | MIDDLEWARE_AUTH | 0ms | 0 | OK
2026-07-30 10:21:47,658 REQ-81AA79 | /auth/microsoft/login/ | DB | 7ms | 2 | OK
2026-07-30 10:21:47,658 REQ-81AA79 | /auth/microsoft/login/ | VIEW | 339486ms | 2 | CRITICAL
2026-07-30 10:21:47,658 REQ-81AA79 | /auth/microsoft/login/ | MW_MODULE_ACCESS | 338568ms | 0 | CRITICAL
2026-07-30 10:21:47,658 REQ-81AA79 | /auth/microsoft/login/ | TEMPLATE | 0ms | 0 | OK
2026-07-30 10:21:47,658 REQ-81AA79 | /auth/microsoft/login/ | TOTAL | 339493ms | 2 | CRITICAL
2026-07-30 10:21:56,845 REQ-BB52BE | /auth/microsoft/login/ | MIDDLEWARE_AUTH | 0ms | 0 | OK
2026-07-30 10:21:56,845 REQ-BB52BE | /auth/microsoft/login/ | DB | 7ms | 2 | OK
2026-07-30 10:21:56,845 REQ-BB52BE | /auth/microsoft/login/ | VIEW | 339368ms | 2 | CRITICAL
2026-07-30 10:21:56,845 REQ-BB52BE | /auth/microsoft/login/ | MW_MODULE_ACCESS | 338463ms | 0 | CRITICAL
2026-07-30 10:21:56,845 REQ-BB52BE | /auth/microsoft/login/ | TEMPLATE | 0ms | 0 | OK
2026-07-30 10:21:56,845 REQ-BB52BE | /auth/microsoft/login/ | TOTAL | 339376ms | 2 | CRITICAL
2026-07-30 10:26:35,758 REQ-1A614E | /auth/microsoft/login/ | MIDDLEWARE_AUTH | 0ms | 0 | OK
2026-07-30 10:26:35,758 REQ-1A614E | /auth/microsoft/login/ | DB | 5ms | 2 | OK
2026-07-30 10:26:35,758 REQ-1A614E | /auth/microsoft/login/ | VIEW | 337924ms | 2 | CRITICAL
2026-07-30 10:26:35,758 REQ-1A614E | /auth/microsoft/login/ | MW_MODULE_ACCESS | 337815ms | 0 | CRITICAL
2026-07-30 10:26:35,758 REQ-1A614E | /auth/microsoft/login/ | TEMPLATE | 0ms | 0 | OK
2026-07-30 10:26:35,758 REQ-1A614E | /auth/microsoft/login/ | TOTAL | 337929ms | 2 | CRITICAL
2026-07-30 10:51:34,002 REQ-D9727E | /accounts/login/ | MIDDLEWARE_AUTH | 0ms | 0 | OK
2026-07-30 10:51:34,002 REQ-D9727E | /accounts/login/ | DB | 53ms | 16 | OK
2026-07-30 10:51:34,002 REQ-D9727E | /accounts/login/ | VIEW | 3514ms | 16 | SLOW
2026-07-30 10:51:34,002 REQ-D9727E | /accounts/login/ | MW_MODULE_ACCESS | 3554ms | 0 | SLOW
2026-07-30 10:51:34,002 REQ-D9727E | /accounts/login/ | TEMPLATE | 0ms | 0 | OK
2026-07-30 10:51:34,002 REQ-D9727E | /accounts/login/ | TOTAL | 3568ms | 16 | SLOW
2026-07-30 12:14:22,799 REQ-E1F903 | /home/ | MIDDLEWARE_AUTH | 0ms | 0 | OK
2026-07-30 12:14:22,799 REQ-E1F903 | /home/ | DB | 1ms | 2 | OK
2026-07-30 12:14:22,799 REQ-E1F903 | /home/ | VIEW | 3006ms | 2 | SLOW
2026-07-30 12:14:22,799 REQ-E1F903 | /home/ | MW_MODULE_ACCESS | 3007ms | 0 | SLOW
